Index,text,rating,label,annotation
5178,Love the way the romance is mixed with suspense and humour,5,1,1
19113,And the split between Alex and his brother was not comfortable for me either,2,-1,-1
11555,Nowhere in the description does this say this is a short story so would not have spent my money on this and it wasn't that good,1,-1,-1
17438,Will definitely read another book by this author,5,1,1
11823,Easy to picture what things looked like,5,1,1
3898,If it was by an advanced ESL student then perhaps the standard of English would be okay,1,-1,-1
15938,No real description of characters,1,-1,-1
3860,The love of two people who have to hide is exciting,4,1,1
10966,Read several and a complete waste of time,1,-1,-1
16071,A young adult may think it was ok,2,-1,-1
13189,Amazing story and amazing characters,5,1,1
13186,"An incredibly dense, well written, poignant read about a soldier trying to get his men home safe",5,1,1
13859,"Ok, maybe that was the hook",2,-1,-1
13378,I enjoyed this book and can't wait for Luciens story,5,1,1
7274,Im sorry i was not pleased,2,-1,-1
10960,I like the approach this ebook takes and the info it delivers,4,1,1
14034,Great for reading during breaks at work,4,1,1
18794,I am sorry but this was not done very well the author kept getting names mixed up and each new volumes chapters were repeated over and over know that I will never purchase a Sicily yoder book ever again,1,-1,-1
6377,"If you need a book to help pass the time on an upcoming trip, get this one",5,1,1
12674,The old ladies were boring as well as the story line,2,-1,-1
14683,"I was not sure how it would move along but, I really liked how it progressed",4,1,1
